Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.013474697,660.3333333333334,-112.56666270891826,-112.56666270891826,1.0
20000,1.4182024,-0.6876855,710.2142857142857,-113.67428088188171,-113.67428088188171,1.0
30000,1.4147885,-1.4887633,811.25,-114.44332857926686,-114.44332857926686,1.0
40000,1.4129074,-2.071506,793.1666666666666,-112.71332808335622,-112.71332808335622,1.0
50000,1.4118222,-2.849302,619.2941176470588,-138.46823212679695,-138.46823212679695,1.0
60000,1.410437,-3.4896708,741.5384615384615,-128.05845607244052,-128.05845607244052,1.0
70000,1.409691,-4.381886,651.0666666666667,-118.42532954216003,-118.42532954216003,1.0
80000,1.4088684,-4.71005,868.75,-103.43999387820561,-103.43999387820561,1.0
90000,1.4076264,-5.0421276,898.7272727272727,-117.05817534706809,-117.05817534706809,1.0
100000,1.4068283,-5.3716846,620.0,-115.22999523580074,-115.22999523580074,1.0
110000,1.4043539,-5.7393384,742.3846153846154,-104.9942797422409,-104.9942797422409,1.0
120000,1.4025955,-5.7751,539.4444444444445,-114.9388845231798,-114.9388845231798,1.0
130000,1.4019562,-6.137529,897.5454545454545,-125.89817675677213,-125.89817675677213,1.0
140000,1.4010462,-6.188365,654.4,-105.37332935333252,-105.37332935333252,1.0
150000,1.3999496,-6.5757036,572.3157894736842,-121.34888569513957,-121.34888569513957,1.0
160000,1.398231,-6.921006,580.5625,-131.25881875262542,-131.25881875262542,1.0
170000,1.396573,-7.202994,656.7333333333333,-125.46132980982462,-125.46132980982462,1.0
180000,1.3954326,-7.548391,785.8461538461538,-124.81384038925171,-124.81384038925171,1.0
190000,1.3944858,-7.8657646,797.9230769230769,-102.83691787261229,-102.83691787261229,1.0
200000,1.3938587,-8.189154,839.4166666666666,-117.23666059970856,-117.23666059970856,1.0
210000,1.3943325,-8.150851,620.625,-118.18749599158764,-118.18749599158764,1.0
220000,1.3946441,-8.609955,635.75,-114.48399566014608,-114.48399566014608,1.0
230000,1.3932389,-8.806936,528.7222222222222,-123.67789061445939,-123.67789061445939,1.0
240000,1.3911464,-8.936646,962.3,-136.19199414253234,-136.19199414253234,1.0
250000,1.3890339,-9.059176,532.0,-113.1589962720871,-113.1589962720871,1.0
260000,1.3873069,-9.336498,878.0909090909091,-124.22363025491887,-124.22363025491887,1.0
270000,1.3850162,-9.47582,593.1764705882352,-118.02940713658052,-118.02940713658052,1.0
280000,1.382334,-9.288356,701.7857142857143,-141.37999524388994,-141.37999524388994,1.0
290000,1.3794408,-9.314428,833.0,-107.94166094064713,-107.94166094064713,1.0
300000,1.377615,-9.403951,713.5,-121.34570855753762,-121.34570855753762,1.0
310000,1.3759834,-9.682993,669.3333333333334,-126.78932854334514,-126.78932854334514,1.0
320000,1.3767003,-9.604253,944.1818181818181,-103.36181181127375,-103.36181181127375,1.0
330000,1.3766202,-9.7274685,752.7692307692307,-105.95384137447064,-105.95384137447064,1.0
340000,1.3748937,-9.632196,870.4545454545455,-105.17817570946433,-105.17817570946433,1.0
350000,1.3725171,-10.127654,704.4285714285714,-113.27856728008815,-113.27856728008815,1.0
360000,1.3691634,-10.215308,892.25,-105.8466607729594,-105.8466607729594,1.0
370000,1.3678309,-10.202295,869.7272727272727,-104.91272167725997,-104.91272167725997,1.0
380000,1.3696821,-10.228322,657.125,-108.59999512036642,-108.59999512036642,1.0
390000,1.3693526,-10.212244,615.5625,-112.19881886594436,-112.19881886594436,1.0
400000,1.3662143,-9.994772,614.8666666666667,-108.14932894706726,-108.14932894706726,1.0
410000,1.3650845,-9.841547,763.4285714285714,-104.75570968219212,-104.75570968219212,1.0
420000,1.3635637,-10.08176,814.5833333333334,-106.16666102409363,-106.16666102409363,1.0
430000,1.3628575,-10.127814,639.6666666666666,-103.89999542236328,-103.89999542236328,1.0
440000,1.3619763,-10.445633,829.6153846153846,-123.20999421676,-123.20999421676,1.0
450000,1.3606777,-10.599748,902.0,-115.98999361197154,-115.98999361197154,1.0
460000,1.3585936,-10.099335,833.9090909090909,-110.63999492471868,-110.63999492471868,1.0
470000,1.3572918,-10.386235,928.0,-101.87999430569735,-101.87999430569735,1.0
480000,1.3564161,-10.6599045,704.6,-123.77732803026835,-123.77732803026835,1.0
490000,1.3532177,-10.322436,634.6,-109.90799528757731,-109.90799528757731,1.0
500000,1.3493407,-10.648421,802.3846153846154,-118.67384096292349,-118.67384096292349,1.0
510000,1.3473516,-10.378901,754.2307692307693,-113.7923027918889,-113.7923027918889,1.0
520000,1.3473243,-10.347077,981.0,-108.08399369716645,-108.08399369716645,1.0
530000,1.3466222,-10.281032,681.4,-114.71866226196289,-114.71866226196289,1.0
540000,1.3463237,-10.639795,560.3888888888889,-133.82332909107208,-133.82332909107208,1.0
550000,1.3454142,-10.645659,570.0,-121.64587755764232,-121.64587755764232,1.0
560000,1.344115,-10.253094,838.3333333333334,-100.56832842032115,-100.56832842032115,1.0
570000,1.3435968,-11.120832,902.1818181818181,-135.55999352715233,-135.55999352715233,1.0
580000,1.3434334,-10.470084,816.3333333333334,-106.4316615263621,-106.4316615263621,1.0
590000,1.3419968,-10.4319105,814.8461538461538,-104.92666165033977,-104.92666165033977,1.0
600000,1.3392172,-10.722688,655.0,-100.91866233348847,-100.91866233348847,1.0
610000,1.3372886,-10.861803,766.3076923076923,-114.97230302370511,-114.97230302370511,1.0
620000,1.3362074,-10.484656,841.6666666666666,-117.28332742055257,-117.28332742055257,1.0
630000,1.334234,-10.628632,710.9333333333333,-111.03332872390747,-111.03332872390747,1.0
640000,1.3316092,-11.646007,703.7692307692307,-124.29691875897922,-124.29691875897922,1.0
650000,1.3297697,-10.0342455,906.25,-108.31817611781034,-108.31817611781034,1.0
660000,1.3292787,-11.292764,661.3333333333334,-130.3974962979555,-130.3974962979555,1.0
670000,1.3278884,-11.000352,810.5833333333334,-122.47999358177185,-122.47999358177185,1.0
680000,1.327184,-10.637753,669.6666666666666,-106.92132927576701,-106.92132927576701,1.0
690000,1.3263313,-11.592166,662.7142857142857,-123.26999602999005,-123.26999602999005,1.0
700000,1.3252484,-10.901696,761.5,-111.91570941039494,-111.91570941039494,1.0
710000,1.3239526,-10.714476,581.375,-108.07874600216746,-108.07874600216746,1.0
720000,1.3215523,-11.842688,733.4285714285714,-116.26285190241677,-116.26285190241677,1.0
730000,1.3205605,-11.854679,837.5,-117.06166098515193,-117.06166098515193,1.0
740000,1.318239,-10.144108,839.6666666666666,-100.52499469121297,-100.52499469121297,1.0
750000,1.3137388,-9.879097,899.6363636363636,-107.93635827844793,-107.93635827844793,1.0
760000,1.3117434,-10.414704,755.2142857142857,-111.09285255840847,-111.09285255840847,1.0
770000,1.3093127,-11.34256,756.7692307692307,-106.44614929419298,-106.44614929419298,1.0
780000,1.3093483,-10.758513,783.9230769230769,-109.74666074911754,-109.74666074911754,1.0
790000,1.3055432,-11.943475,757.4615384615385,-113.26428040436336,-113.26428040436336,1.0
800000,1.3036499,-11.068392,765.1538461538462,-107.27691874137291,-107.27691874137291,1.0
810000,1.3028526,-10.153725,826.5833333333334,-115.96832728385925,-115.96832728385925,1.0
820000,1.3021328,-11.381635,685.8571428571429,-118.64285247666496,-118.64285247666496,1.0
830000,1.3012098,-10.257051,746.9285714285714,-103.34570940903255,-103.34570940903255,1.0
840000,1.3000591,-11.970494,781.7692307692307,-126.24999491373698,-126.24999491373698,1.0
850000,1.2986796,-12.114813,697.1538461538462,-114.71571077619281,-114.71571077619281,1.0
860000,1.2965178,-10.913694,860.25,-102.73166151841481,-102.73166151841481,1.0
870000,1.2951454,-10.822427,775.1538461538462,-123.64922545506404,-123.64922545506404,1.0
880000,1.2948992,-11.414005,872.5,-113.33453999866138,-113.33453999866138,1.0
890000,1.2932471,-11.141675,731.4615384615385,-117.73570942878723,-117.73570942878723,1.0
900000,1.291235,-11.7279415,761.0,-122.22153381200937,-122.22153381200937,1.0
910000,1.28966,-10.413142,878.75,-104.93272157148881,-104.93272157148881,1.0
920000,1.2888355,-10.75414,637.6666666666666,-109.82749576866627,-109.82749576866627,1.0
930000,1.2874137,-11.592945,801.75,-130.1449942390124,-130.1449942390124,1.0
940000,1.2854638,-11.590846,830.5833333333334,-108.12166130542755,-108.12166130542755,1.0
950000,1.2834738,-12.739441,714.6428571428571,-114.31142371041435,-114.31142371041435,1.0
960000,1.2817485,-11.155111,752.1428571428571,-110.76999487195697,-110.76999487195697,1.0
970000,1.2790565,-11.657414,639.25,-114.78666286468506,-114.78666286468506,1.0
980000,1.2763579,-11.191674,807.6666666666666,-105.31691817136911,-105.31691817136911,1.0
990000,1.2749822,-10.796735,617.25,-105.35249680280685,-105.35249680280685,1.0
1000000,1.2738858,-11.74038,809.75,-122.52666141589482,-122.52666141589482,1.0
1010000,1.2728356,-10.664208,914.1818181818181,-100.46908517317338,-100.46908517317338,1.0
1020000,1.271213,-10.516871,999.0,-99.57999382019042,-99.57999382019042,1.0
1030000,1.2701776,-11.3989105,791.8461538461538,-102.10153409150931,-102.10153409150931,1.0
1040000,1.2680842,-11.380602,714.0,-128.32856610843115,-128.32856610843115,1.0
1050000,1.264744,-10.445398,754.4615384615385,-106.29384114192082,-106.29384114192082,1.0
1060000,1.2620312,-11.264425,851.8333333333334,-118.51666176319122,-118.51666176319122,1.0
1070000,1.2595521,-11.500055,844.4545454545455,-120.8854493227872,-120.8854493227872,1.0
1080000,1.2574053,-10.22581,900.3333333333334,-106.66832749048869,-106.66832749048869,1.0
1090000,1.2573762,-11.752376,732.2307692307693,-119.42768786503719,-119.42768786503719,1.0
1100000,1.2559847,-10.62319,958.2727272727273,-95.48908504572782,-95.48908504572782,1.0
1110000,1.2547662,-10.831869,832.1666666666666,-108.11832743883133,-108.11832743883133,1.0
1120000,1.2522202,-10.806842,943.5,-103.98199400901794,-103.98199400901794,1.0
1130000,1.2523134,-11.018267,928.6363636363636,-101.9309035431255,-101.9309035431255,1.0
1140000,1.2517891,-11.408976,756.1538461538462,-129.46614841314462,-129.46614841314462,1.0
1150000,1.2489169,-11.064893,773.6153846153846,-115.88614856279813,-115.88614856279813,1.0
1160000,1.2490232,-11.0168295,769.6923076923077,-107.59691819777855,-107.59691819777855,1.0
1170000,1.2479281,-10.7824335,843.5,-117.64332781235377,-117.64332781235377,1.0
1180000,1.2454476,-10.228364,812.25,-106.26166137059529,-106.26166137059529,1.0
1190000,1.2423968,-11.688322,993.9,-109.24999339580536,-109.24999339580536,1.0
1200000,1.2414241,-10.702059,999.0,-99.71999387741089,-99.71999387741089,1.0
1210000,1.2408966,-10.958836,787.7692307692307,-124.84153404602638,-124.84153404602638,1.0
1220000,1.2390921,-11.195942,803.3333333333334,-113.66499431927998,-113.66499431927998,1.0
1230000,1.2372208,-10.971992,758.7142857142857,-118.78713713373456,-118.78713713373456,1.0
1240000,1.2339532,-10.4772625,959.6,-116.00599350929261,-116.00599350929261,1.0
1250000,1.2327502,-10.436678,925.5454545454545,-110.69090286168185,-110.69090286168185,1.0
1260000,1.2319341,-10.962398,786.6153846153846,-117.09384116759666,-117.09384116759666,1.0
1270000,1.2315363,-11.818637,741.2307692307693,-120.17845707673293,-120.17845707673293,1.0
1280000,1.2296249,-11.385913,930.4545454545455,-111.28726714307612,-111.28726714307612,1.0
1290000,1.2270325,-12.305419,619.3125,-105.47999566793442,-105.47999566793442,1.0
1300000,1.2264142,-10.378621,775.6923076923077,-100.53384025280292,-100.53384025280292,1.0
1310000,1.2267444,-10.958044,810.5,-106.02332750956218,-106.02332750956218,1.0
1320000,1.2262559,-11.108629,766.7692307692307,-107.34768695097704,-107.34768695097704,1.0
1330000,1.22496,-10.684959,872.8181818181819,-105.4272677898407,-105.4272677898407,1.0
1340000,1.2238228,-11.140812,758.3076923076923,-106.50461097864005,-106.50461097864005,1.0
1350000,1.223099,-10.764747,839.3333333333334,-100.58332880338033,-100.58332880338033,1.0
1360000,1.2213193,-12.226061,890.3333333333334,-113.95332767566045,-113.95332767566045,1.0
1370000,1.2179991,-11.406999,764.0833333333334,-101.30332905054092,-101.30332905054092,1.0
1380000,1.2145637,-11.877318,640.125,-114.07999628782272,-114.07999628782272,1.0
1390000,1.2121962,-11.439651,860.0,-111.05666081110637,-111.05666081110637,1.0
1400000,1.2093726,-10.903005,919.2727272727273,-110.08908453854647,-110.08908453854647,1.0
1410000,1.2046355,-10.5500145,914.7272727272727,-100.458176612854,-100.458176612854,1.0
1420000,1.2027411,-11.391272,669.9285714285714,-131.12428089550562,-131.12428089550562,1.0
1430000,1.2019215,-10.362599,762.9285714285714,-104.91856593745095,-104.91856593745095,1.0
1440000,1.2010823,-10.458021,829.8333333333334,-99.45332789669435,-99.45332789669435,1.0
1450000,1.2015666,-11.122884,708.2142857142857,-113.71427951540265,-113.71427951540265,1.0
1460000,1.1997175,-11.486125,829.1666666666666,-107.9733275572459,-107.9733275572459,1.0
1470000,1.1977324,-11.450694,963.6,-106.33599426746369,-106.33599426746369,1.0
1480000,1.1956711,-9.8473425,999.0,-99.87999382019044,-99.87999382019044,1.0
1490000,1.1924833,-11.157344,966.6,-106.75799407958985,-106.75799407958985,1.0
1500000,1.1919872,-11.056643,822.6153846153846,-120.72153243651756,-120.72153243651756,1.0
1510000,1.1919253,-10.727316,780.4615384615385,-108.85845646491417,-108.85845646491417,1.0
1520000,1.1899259,-12.142586,612.5,-129.98624634742737,-129.98624634742737,1.0
1530000,1.1876868,-10.405874,923.8,-102.37399461269379,-102.37399461269379,1.0
1540000,1.1882861,-10.700133,780.5384615384615,-108.85691807820247,-108.85691807820247,1.0
1550000,1.1894583,-11.054333,615.5882352941177,-114.51411320181454,-114.51411320181454,1.0
1560000,1.1884861,-11.010556,935.8181818181819,-102.83799486160278,-102.83799486160278,1.0
1570000,1.1873868,-10.675267,677.3571428571429,-103.20399521191915,-103.20399521191915,1.0
1580000,1.1869818,-9.695928,999.0,-99.99999403953552,-99.99999403953552,1.0
1590000,1.184847,-11.5822115,999.0,-99.99999403953552,-99.99999403953552,1.0
1600000,1.1843857,-11.079075,849.5,-109.93166174491246,-109.93166174491246,1.0
1610000,1.1854187,-10.432436,954.5,-105.5299940109253,-105.5299940109253,1.0
1620000,1.1863366,-11.300238,773.6923076923077,-108.20768691943242,-108.20768691943242,1.0
1630000,1.1848968,-10.610305,944.0909090909091,-103.53999415310946,-103.53999415310946,1.0
