Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,24.678068,1.4275719,1501.1531,0.02508575,0.0002972352,1978.774193548387,-8.986636963757602,-8.986636963757602,1.0
70000,194.04341,1.4276143,None,None,None,1999.0,-9.045455174012618,-9.045455174012618,1.0
80000,13.949826,1.4297674,4123.954,0.06848499,0.0002964314,174.0,-2.7378334949413934,-2.7378334949413934,1.0
90000,14.949835,1.4306808,14.453711,0.030106181,0.00029576384,None,None,None,1.0
100000,14.16419,1.4308014,None,None,None,936.0,-3.6840001543362937,-3.6840001543362937,1.0
110000,15.205605,1.4312992,7.458067,0.025007537,0.00029477847,1336.0,-5.684000253677368,-5.684000253677368,1.0
120000,32.028084,1.4313544,None,None,None,None,-6.184000372886658,-6.184000372886658,1.0
130000,13.03711,1.4320545,34.880947,0.028587077,0.0002938611,1245.6666666666667,-5.452889190779792,-5.452889190779792,1.0
140000,71.94916,1.4321839,640.7765,0.019248081,0.00029331012,1716.857142857143,-9.481250643730164,-9.481250643730164,1.0
150000,35.305004,1.43273,9.441958,0.05080419,0.00029277214,1414.6666666666667,-5.595357533012118,-5.595357533012118,1.0
160000,87.20439,1.434197,2183.6167,0.032725617,0.0002922417,None,None,None,1.0
170000,167.896,1.4353162,27.129723,0.46411026,0.00029172548,1102.6666666666667,-5.071889152129491,-5.071889152129491,1.0
180000,7.9506645,1.4361986,7343.1255,0.17749596,0.00029120749,1809.0,-7.382333795229594,-7.382333795229594,1.0
190000,6.686035,1.4362323,103.66295,0.046633463,0.00029066825,1272.0,-5.030667086442311,-5.030667086442311,1.0
200000,6.7499833,1.4360175,10.141211,0.022544755,0.0002901378,1999.0,-9.332334041595459,-9.332334041595459,1.0
210000,8.799442,1.4357169,6.741941,0.021846497,0.0002896146,1601.6,-6.781692751325094,-6.781692751325094,1.0
220000,10.607906,1.4354436,12.523981,0.054989334,0.00028902706,1999.0,-9.24775068461895,-9.24775068461895,1.0
230000,8.341661,1.4362582,None,None,None,None,None,None,1.0
240000,11.675873,1.4369887,7.950937,0.030083934,0.00028848942,1263.6666666666667,-6.077750310301781,-6.077750310301781,1.0
250000,7.5507364,1.4379798,49.9757,0.213239,0.0002879276,1740.75,-7.672462020929043,-7.672462020929043,1.0
260000,5.394804,1.438804,7.478374,0.21541315,0.00028741284,1999.0,-9.665667454401651,-9.665667454401651,1.0
270000,5.932369,1.4395858,6.217128,0.05217408,0.00028688257,1999.0,-9.999000787734985,-9.999000787734985,1.0
280000,6.709754,1.439814,5.8070045,0.023844616,0.00028635206,1331.0,-2.6493334968884787,-2.6493334968884787,1.0
290000,5.113898,1.439452,4.2053556,0.0242149,0.00028580613,1392.3333333333333,-7.472500508030255,-7.472500508030255,1.0
300000,6.056375,1.4393414,4.121351,0.021974068,0.00028524877,None,None,None,1.0
310000,5.4170504,1.4394763,2.198895,0.028763972,0.0002847255,1008.25,-4.294000296543042,-4.294000296543042,1.0
320000,5.673901,1.4389876,4.093417,0.029788848,0.00028420397,1602.4,-7.680667136112849,-7.680667136112849,1.0
330000,6.992184,1.4380989,3.1302006,0.022351852,0.000283671,1999.0,-8.999000668525696,-8.999000668525696,1.0
340000,3.7271276,1.437066,3.1480432,0.023534399,0.00028314063,969.25,-4.098250261818369,-4.098250261818369,1.0
350000,6.4310822,1.4368037,2.3977735,0.024939904,0.00028256566,1999.0,-8.996000409126282,-8.996000409126282,1.0
360000,5.537787,1.436728,3.113488,0.019408427,0.0002820425,1999.0,-9.997000694274902,-9.997000694274902,1.0
370000,6.0437293,1.4358795,3.2415767,0.019351212,0.00028150488,None,None,None,1.0
380000,4.4227905,1.4359773,None,None,None,1999.0,-9.664167284965515,-9.664167284965515,1.0
390000,4.953866,1.4363124,1.6752775,0.022426486,0.00028098174,1999.0,-9.663333939181435,-9.663333939181435,1.0
400000,4.9778867,1.4368181,2.1144612,0.025169622,0.00028046564,1137.0,-3.284000240266323,-3.284000240266323,1.0
410000,4.7954693,1.4370372,2.754814,0.024330093,0.00027989325,1282.4,-5.81406696215272,-5.81406696215272,1.0
420000,6.0072913,1.4371036,1.5876802,0.022408972,0.0002793153,1999.0,-9.796400570869446,-9.796400570869446,1.0
430000,3.242987,1.4373087,1.7140085,0.028047336,0.00027879217,1014.0,-4.572000299890836,-4.572000299890836,1.0
440000,4.0025682,1.4374564,1.8315303,0.022738269,0.0002782572,1999.0,-9.330333968003591,-9.330333968003591,1.0
450000,3.527156,1.4372627,0.63900673,0.027473362,0.0002777196,1999.0,-9.499000787734985,-9.499000787734985,1.0
460000,3.2853878,1.4363543,1.1196274,0.026690444,0.0002772036,1685.6666666666667,-8.386600542068482,-8.386600542068482,1.0
470000,2.7826867,1.4361167,0.8193639,0.022887139,0.0002766323,1117.5,-4.590000306566556,-4.590000306566556,1.0
480000,2.0136127,1.4366344,0.5177518,0.019982904,0.00027606316,1971.5,-9.192583903670311,-9.192583903670311,1.0
490000,2.5766156,1.4371371,0.4850887,0.022607423,0.00027553277,1999.0,-9.66366732120514,-9.66366732120514,1.0
500000,2.2569706,1.4370478,None,None,None,1134.0,-5.338667030135791,-5.338667030135791,1.0
510000,1.6298437,1.4362184,0.62607604,0.029731842,0.00027496187,922.0,-3.9466669261455536,-3.9466669261455536,1.0
520000,1.7217637,1.4350556,0.36527973,0.02138565,0.00027439292,1102.0,-4.845333635807037,-4.845333635807037,1.0
530000,1.5428967,1.4347535,0.55261993,0.024764689,0.0002738507,1537.25,-7.271583765745163,-7.271583765745163,1.0
540000,1.7909905,1.434445,0.3940534,0.019317765,0.0002733045,1999.0,-9.330833931763967,-9.330833931763967,1.0
550000,12.119339,1.4344351,21.784883,0.069121554,0.00027278851,1728.0,-7.969429114035198,-7.969429114035198,1.0
560000,36.716118,1.4353718,0.6610325,0.09418347,0.00027223365,None,-8.496000468730927,-8.496000468730927,1.0
570000,3.4330127,1.436265,317.07275,0.025939403,0.00027169607,1999.0,-8.997000575065613,-8.997000575065613,1.0
580000,54.943233,1.4376041,4.6672544,0.09513417,0.0002711801,1735.6666666666667,-8.466000605713237,-8.466000605713237,1.0
590000,7.9320893,1.4392563,1273.6658,0.024715373,0.0002706218,1999.0,-9.330333968003591,-9.330333968003591,1.0
600000,60.575462,1.4390202,3140.9463,0.043601368,0.00027009603,1207.0,-4.713916974763076,-4.713916974763076,1.0
610000,0.20914176,1.4400078,2.26531,0.12240708,0.00026951896,1823.0,-9.05650062362353,-9.05650062362353,1.0
620000,13.221436,1.4421452,None,None,None,1999.0,-9.665667414665222,-9.665667414665222,1.0
630000,5.4206567,1.4435897,24.688622,0.043353688,0.00026898863,1999.0,-9.496000508467356,-9.496000508467356,1.0
640000,35.869118,1.4428099,290.98334,0.034628224,0.00026846537,None,None,None,1.0
650000,31.264524,1.4424815,0.7931093,0.03307684,0.0002679277,1611.6,-7.661000525951385,-7.661000525951385,1.0
660000,24.92101,1.442096,876.4403,0.028801927,0.00026740957,1005.5,-4.530500317613284,-4.530500317613284,1.0
670000,64.71856,1.4420975,1.3287228,0.042077526,0.00026687715,1749.0,-8.103714789663043,-8.103714789663043,1.0
680000,-1.0420663,1.4427601,1640.9374,0.045602217,0.0002663272,1336.6666666666667,-6.560454951091246,-6.560454951091246,1.0
690000,-1.8246737,1.4439229,2.669359,0.09143302,0.00026578445,1546.0,-7.232500533262889,-7.232500533262889,1.0
700000,-1.8187697,1.4459671,0.50356925,0.057015162,0.00026526122,727.0,-3.191555698712667,-3.191555698712667,1.0
710000,-1.8144147,1.4466009,0.34418747,0.031243686,0.00026469602,None,None,None,1.0
720000,-1.3727816,1.4480351,0.2554807,0.022632066,0.0002641656,1334.6666666666667,-6.010000433358881,-6.010000433358881,1.0
730000,-1.5448974,1.4488096,0.19498208,0.023517387,0.00026363417,1364.3333333333333,-6.491333749559191,-6.491333749559191,1.0
740000,-1.2146956,1.4490759,0.23244266,0.028390815,0.00026310378,1999.0,-9.24625052511692,-9.24625052511692,1.0
750000,-1.2527574,1.4498087,0.3011544,0.022717113,0.00026258777,1999.0,-9.815455198287964,-9.815455198287964,1.0
760000,-2.7423193,1.4503748,1.7296146,0.19813265,0.00026206454,1999.0,-9.996000528335571,-9.996000528335571,1.0
770000,-1.0649847,1.4529241,0.3162181,0.05551788,0.0002615414,1999.0,-9.662667155265808,-9.662667155265808,1.0
780000,-6.128295,1.4556731,11.856991,0.2506844,0.00026100376,None,None,None,1.0
790000,-0.53937936,1.4578704,None,None,None,1999.0,-9.798200750350953,-9.798200750350953,1.0
800000,-5.116315,1.4592185,0.32118464,0.041169934,0.0002604806,1405.6666666666667,-6.628800469636917,-6.628800469636917,1.0
810000,-7.5125976,1.4610512,12.893162,0.24340789,0.00025992433,1999.0,-9.662667195002237,-9.662667195002237,1.0
820000,-1.734727,1.4620831,367.12607,0.05241101,0.00025940122,1999.0,-9.775445143381754,-9.775445143381754,1.0
