Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
40000,1.4213866,0.020108338,1999.888888888889,-0.8333000855313407,-0.8333000855313407,1.0
50000,1.4216238,0.023935623,None,None,None,1.0
60000,1.4193385,0.0298095,None,None,None,1.0
70000,1.4194587,0.027934236,1999.0,0.250574704259634,0.250574704259634,1.0
80000,1.4200286,0.021799736,None,-0.5987401336431504,-0.5987401336431504,1.0
90000,1.4208416,0.00032606663,None,None,None,1.0
100000,1.4206959,-0.0025105374,None,None,None,1.0
110000,1.421661,0.0021951264,1999.0,-0.7773667557371987,-0.7773667557371987,1.0
120000,1.4228843,0.004608988,None,None,None,1.0
130000,1.4230825,-0.011981127,None,None,None,1.0
140000,1.4221318,-0.009351278,None,None,None,1.0
150000,1.4225318,-0.00035239666,1999.0,-0.3324168705277973,-0.3324168705277973,1.0
160000,1.4237345,-0.016361404,None,None,None,1.0
170000,1.4249567,-0.014163027,None,None,None,1.0
180000,1.4263804,-0.020661991,1999.0,-0.8231589163050932,-0.8231589163050932,1.0
190000,1.4265707,0.008645118,None,-0.9997000619769096,-0.9997000619769096,1.0
200000,1.426536,0.006649124,None,None,None,1.0
210000,1.4260802,-0.0054178536,None,None,None,1.0
220000,1.424239,-0.00701904,1999.0,-0.7218167906006178,-0.7218167906006178,1.0
230000,1.4230111,-0.009844233,None,None,None,1.0
240000,1.4233807,-0.014489858,None,None,None,1.0
250000,1.4235286,-0.017803019,1999.0555555555557,0.0005122479051351547,0.0005122479051351547,1.0
260000,1.4230856,-0.011970755,None,-0.7990601420402527,-0.7990601420402527,1.0
270000,1.4238386,-0.025040634,None,None,None,1.0
280000,1.4251323,-0.035695903,None,None,None,1.0
290000,1.4261142,-0.035838082,1999.0,-0.610466807252831,-0.610466807252831,1.0
300000,1.4259274,-0.02037012,None,None,None,1.0
310000,1.4254011,-0.02747841,None,None,None,1.0
320000,1.4233251,-0.030005293,None,None,None,1.0
330000,1.4232746,-0.033184957,1999.0,-0.7217667649189631,-0.7217667649189631,1.0
340000,1.4232566,-0.025216846,None,None,None,1.0
350000,1.4234029,-0.025998782,None,None,None,1.0
360000,1.4236208,-0.028991705,1999.0,-0.7643647903905195,-0.7643647903905195,1.0
370000,1.4242036,-0.0075931177,None,-0.9991000443696976,-0.9991000443696976,1.0
380000,1.4246141,-0.029864913,None,None,None,1.0
390000,1.4277508,-0.03341204,None,None,None,1.0
400000,1.428478,-0.022335967,1999.0,-0.6107168114847608,-0.6107168114847608,1.0
410000,1.4283084,-0.04135363,None,None,None,1.0
420000,1.4281902,-0.05233116,None,None,None,1.0
430000,1.4285067,-0.04812118,1999.0,-0.7497001234441996,-0.7497001234441996,1.0
440000,1.4273568,-0.023951167,None,-0.39945015460252764,-0.39945015460252764,1.0
450000,1.4282854,-0.036707208,None,None,None,1.0
460000,1.4281826,-0.030623099,None,None,None,1.0
470000,1.4274415,-0.031468075,1999.0,-0.2769613323940171,-0.2769613323940171,1.0
480000,1.4264121,-0.044048842,None,None,None,1.0
490000,1.4258689,-0.049860157,None,None,None,1.0
500000,1.4282342,-0.04323537,None,None,None,1.0
510000,1.4289682,-0.039014235,1999.0,-0.6105556901958253,-0.6105556901958253,1.0
520000,1.4298493,-0.035239074,None,None,None,1.0
530000,1.4299065,-0.03460108,None,None,None,1.0
540000,1.4299728,-0.036703445,1999.0,-0.5879295284257215,-0.5879295284257215,1.0
550000,1.4301221,-0.013232102,None,-0.9989000707864761,-0.9989000707864761,1.0
560000,1.4293296,-0.03249504,None,None,None,1.0
570000,1.4275768,-0.045261797,None,None,None,1.0
580000,1.4282762,-0.02725992,1999.2222222222222,-0.4995168157749706,-0.4995168157749706,1.0
590000,1.4280838,-0.0412302,None,None,None,1.0
600000,1.4279114,-0.05296362,None,None,None,1.0
610000,1.4283234,-0.048686966,1999.0,-0.7496625930070877,-0.7496625930070877,1.0
620000,1.4281863,-0.014493454,None,-0.5993201479315757,-0.5993201479315757,1.0
630000,1.4280872,-0.022250498,None,None,None,1.0
640000,1.4268016,-0.036185224,None,None,None,1.0
650000,1.4262685,-0.03075647,1999.0,-0.2767391229669253,-0.2767391229669253,1.0
660000,1.4262701,-0.011163216,None,None,None,1.0
670000,1.4260901,-0.037648294,None,None,None,1.0
680000,1.4259052,-0.039133202,None,None,None,1.0
690000,1.4277079,-0.011899008,1999.0,-0.3882446421517266,-0.3882446421517266,1.0
700000,1.4293336,-0.026488071,None,None,None,1.0
710000,1.4292859,-0.027507177,None,None,None,1.0
720000,1.4297484,-0.028042067,1999.0,-0.7054118689368752,-0.7054118689368752,1.0
730000,1.4306244,-0.014844797,None,-0.9991000592708588,-0.9991000592708588,1.0
740000,1.4304519,-0.049738336,None,None,None,1.0
750000,1.4299145,-0.044429883,None,None,None,1.0
760000,1.4273999,-0.028082348,1999.0,-0.4991445541381836,-0.4991445541381836,1.0
770000,1.4256947,-0.01497832,None,None,None,1.0
780000,1.424039,-0.032306593,None,None,None,1.0
790000,1.4237853,-0.035094336,1999.0,-0.24945022631436586,-0.24945022631436586,1.0
800000,1.4234666,-0.0014408699,None,-0.7991500988602638,-0.7991500988602638,1.0
810000,1.4252169,-0.019155828,None,None,None,1.0
820000,1.4233207,-0.03845756,None,None,None,1.0
830000,1.4217129,-0.031424068,1999.0,-0.33266130255328286,-0.33266130255328286,1.0
840000,1.4214705,0.027974043,None,None,None,1.0
850000,1.4211675,-0.008456237,None,None,None,1.0
860000,1.421017,-0.035883233,None,None,None,1.0
870000,1.4213531,-0.0064633475,1999.0,-0.22151686582300398,-0.22151686582300398,1.0
880000,1.4207093,-0.0112383645,None,None,None,1.0
890000,1.4217216,-0.030833501,None,None,None,1.0
900000,1.4220474,-0.033899207,1999.0,-0.5876824847039055,-0.5876824847039055,1.0
910000,1.4219097,-0.0022246544,None,-0.9989000707864761,-0.9989000707864761,1.0
920000,1.4198606,-0.020800758,None,None,None,1.0
930000,1.418876,-0.030993642,None,None,None,1.0
940000,1.4180996,-0.0042489427,1999.0555555555557,-0.332316810472144,-0.332316810472144,1.0
950000,1.417533,0.00827456,None,None,None,1.0
960000,1.4180052,-0.0011234875,None,None,None,1.0
970000,1.4182255,-0.012015852,1999.0,0.5008121998980641,0.5008121998980641,1.0
