Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
30000,1.4125082,0.056352664,1999.7222222222222,0.6002794682979584,0.6002794682979584,0.0027564375,0.023854945,0.00029970033,1.0
40000,1.4104087,0.067200184,None,0.6169996192822089,0.6169996192822089,None,None,None,1.0
50000,1.4077203,0.06466881,None,None,None,0.0082602035,0.027394518,0.0002995477,1.0
60000,1.4074455,0.045559354,None,None,None,0.0009706913,0.023623735,0.00029942996,1.0
70000,1.4062487,0.030978307,1999.611111111111,0.15481510070654061,0.15481510070654061,None,None,None,1.0
80000,1.4053805,0.0513556,None,-0.3984001874923706,-0.3984001874923706,0.002224293,0.025382834,0.00029927978,1.0
90000,1.4051896,0.05046748,None,None,None,0.004005089,0.023153407,0.0002991313,1.0
100000,1.4003251,0.03384138,1999.0,None,None,0.0006669026,0.019915784,0.00029900327,1.0
110000,1.3989831,0.017627921,1999.0,-0.38827792803446454,-0.38827792803446454,None,None,None,1.0
120000,1.3992811,0.040229674,None,None,None,0.003122593,0.028693695,0.00029886342,1.0
130000,1.4006463,0.023006968,None,None,None,0.003059849,0.023673639,0.00029873548,1.0
140000,1.400716,0.0076933126,1999.0,-0.33291130595737034,-0.33291130595737034,0.00018825433,0.025801854,0.00029862477,1.0
150000,1.400513,0.031005267,None,0.11235529515478346,0.11235529515478346,0.008302754,0.024814226,0.00029850344,1.0
160000,1.4012033,0.0370613,None,None,None,None,None,None,1.0
170000,1.401477,0.0024577565,None,None,None,0.002665435,0.024020338,0.00029837544,1.0
180000,1.4014248,-0.0104877595,1999.0,-0.17550613862626693,-0.17550613862626693,0.00082411687,0.025137331,0.00029826473,1.0
190000,1.3985891,0.035028875,None,0.0015999078750610352,0.0015999078750610352,0.0033623038,0.026368078,0.00029814345,1.0
200000,1.3956887,0.026204262,None,None,None,0.006231956,0.02688695,0.00029801548,1.0
210000,1.3957369,0.013664166,1999.0555555555557,0.0005797296762466431,0.0005797296762466431,0.0030933716,0.025750022,0.00029790477,1.0
220000,1.3999037,0.057130463,None,0.9253379622331033,0.9253379622331033,None,None,None,1.0
230000,1.4003932,0.07012496,None,None,None,0.009995489,0.027836872,0.00029778856,1.0
240000,1.3984917,0.014162015,None,None,None,0.010368771,0.029842634,0.0002976554,1.0
250000,1.3983403,-0.0008437413,1999.1666666666667,1.3095072014973714,1.3095072014973714,0.003815826,0.022916751,0.00029754467,1.0
260000,1.3976232,0.09808187,None,1.4038793474435807,1.4038793474435807,None,None,None,1.0
270000,1.3975198,0.060595103,None,None,None,0.00851749,0.025242731,0.00029738754,1.0
280000,1.3981628,0.045335665,1999.0,None,None,0.011049791,0.0212022,0.00029725957,1.0
290000,1.4018755,0.022938782,1999.0,1.6134716951184802,1.6134716951184802,0.005290984,0.02476888,0.00029711975,1.0
300000,1.4021033,0.12053037,None,None,None,None,None,None,1.0
310000,1.4020686,0.07893616,None,None,None,0.013968322,0.02278335,0.00029699167,1.0
320000,1.4040445,0.061701406,1999.2222222222222,1.8900883479250803,1.8900883479250803,0.008997105,0.019633804,0.00029684324,1.0
330000,1.4042404,0.12842819,None,2.2264549367957644,2.2264549367957644,0.009492384,0.022003641,0.00029672385,1.0
340000,1.40371,0.1259701,None,None,None,None,None,None,1.0
350000,1.4038991,0.10089121,None,None,None,0.0097884135,0.019067474,0.00029659583,1.0
360000,1.4036434,0.10580701,1999.0,2.1794287343235577,2.1794287343235577,0.00829319,0.019334728,0.00029648322,1.0
370000,1.4024392,0.19999759,None,1.0056997537612915,1.0056997537612915,0.014810041,0.028047487,0.00029636384,1.0
380000,1.399847,0.16108586,None,None,None,0.017108247,0.0265075,0.0002962359,1.0
390000,1.3976507,0.12094493,1999.0,2.000499315559864,2.000499315559864,0.00822511,0.025187401,0.0002961232,1.0
400000,1.3975079,0.13795315,None,3.0042992351310596,3.0042992351310596,0.01018201,0.027807865,0.00029600385,1.0
410000,1.3998834,0.16361889,None,None,None,None,None,None,1.0
420000,1.3984436,0.13680866,None,None,None,0.014899249,0.024486193,0.000295881,1.0
430000,1.3966172,0.103966564,1999.0,2.232937929721979,2.232937929721979,0.014180052,0.022543347,0.0002957632,1.0
440000,1.3964612,0.17428792,None,3.6054389655590056,3.6054389655590056,0.0123242065,0.021254273,0.00029564384,1.0
450000,1.395331,0.15074837,None,None,None,None,None,None,1.0
460000,1.3950276,0.10531024,1999.0,None,None,0.014403211,0.026830208,0.00029549538,1.0
470000,1.3947238,0.08595387,1999.1875,2.9480824801656933,2.9480824801656933,0.009632096,0.024687506,0.00029538467,1.0
480000,1.3938278,0.16216059,None,None,None,0.013481771,0.02559967,0.00029522748,1.0
490000,1.3937409,0.11250846,None,None,None,0.013520364,0.027943334,0.00029511485,1.0
500000,1.3931159,0.08161714,1999.0,3.112988069653511,3.112988069653511,None,None,None,1.0
510000,1.3946418,0.15491042,None,2.5606878714429007,2.5606878714429007,0.0065195705,0.021320535,0.00029499215,1.0
520000,1.3945311,0.14791414,None,None,None,0.020823913,0.025918847,0.00029486755,1.0
530000,1.3945048,0.104184195,None,None,None,0.008816363,0.018938275,0.00029475483,1.0
540000,1.394152,0.099953435,1999.111111111111,3.415316766675781,3.415316766675781,0.0077305827,0.023454864,0.00029462285,1.0
550000,1.3903729,0.15906885,None,0.007499605417251587,0.007499605417251587,0.017881706,0.0210681,0.00029450748,1.0
560000,1.3898804,0.11436845,None,None,None,None,None,None,1.0
570000,1.3904372,0.10363841,1999.0,2.250624418258667,2.250624418258667,0.013236447,0.022632618,0.00029439485,1.0
580000,1.3921947,0.12111592,1999.0,3.075670522238527,3.075670522238527,0.008770308,0.02112035,0.00029427212,1.0
590000,1.3912408,0.1769783,None,None,None,0.015883788,0.024510466,0.0002941474,1.0
600000,1.3911512,0.11384287,None,None,None,0.013401167,0.026287578,0.00029403483,1.0
610000,1.3911321,0.08689626,1999.0,3.1566606553701253,3.1566606553701253,0.005730689,0.020283543,0.0002939307,1.0
620000,1.3912351,0.20766957,None,2.6062793672084807,2.6062793672084807,None,None,None,1.0
630000,1.3896227,0.14334102,None,None,None,0.015118213,0.020348564,0.0002937875,1.0
640000,1.3896692,0.11212492,1999.0,None,None,0.010581359,0.02677266,0.00029367482,1.0
650000,1.3878596,0.12643372,1999.0,3.0595269567436643,3.0595269567436643,0.00945337,0.02027826,0.0002935428,1.0
660000,1.3861283,0.18529859,None,None,None,0.019147051,0.025267512,0.00029342747,1.0
670000,1.3859963,0.1115776,None,None,None,0.012641465,0.02746276,0.00029331484,1.0
680000,1.3852526,0.08785943,1999.0,3.6686545560757318,3.6686545560757318,None,None,None,1.0
690000,1.3864716,0.15394068,None,2.6726436432864933,2.6726436432864933,0.00809278,0.024334885,0.00029319213,1.0
700000,1.3849097,0.18278727,None,None,None,0.018340817,0.019155929,0.0002930675,1.0
710000,1.3846986,0.13279435,None,None,None,0.017316652,0.024251826,0.00029295485,1.0
720000,1.382441,0.083079204,1999.0,2.9448933206936894,2.9448933206936894,0.008574294,0.030335495,0.0002928507,1.0
730000,1.3814771,0.22268018,None,8.007199376821518,8.007199376821518,0.01383466,0.025250567,0.00029270744,1.0
740000,1.3814662,0.16193725,None,None,None,None,None,None,1.0
750000,1.3798845,0.12614137,1999.0,2.5008240565657616,2.5008240565657616,0.0154241435,0.02413159,0.00029259484,1.0
760000,1.3792619,0.14678733,1999.0,3.3617776227848872,3.3617776227848872,0.009392311,0.024155322,0.0002924721,1.0
770000,1.3791146,0.20985389,None,None,None,0.01979323,0.023262288,0.0002923475,1.0
780000,1.379104,0.15561123,None,None,None,0.013507178,0.018209776,0.00029223485,1.0
790000,1.378947,0.13645312,1999.0,3.464691338630823,3.464691338630823,0.008247447,0.022647737,0.00029210284,1.0
800000,1.3772714,0.1852325,None,3.6068592190742494,3.6068592190742494,None,None,None,1.0
810000,1.377478,0.16567911,None,None,None,0.01971085,0.021080375,0.00029198747,1.0
820000,1.3786144,0.12421583,1999.0,None,None,0.009674223,0.023400385,0.00029187484,1.0
830000,1.3803867,0.13168137,1999.0,2.8922824776834912,2.8922824776834912,0.009149148,0.020507716,0.0002917428,1.0
840000,1.3796792,0.23784015,None,None,None,0.018448144,0.02720787,0.00029162748,1.0
850000,1.3795892,0.16455232,None,None,None,0.014707215,0.03136377,0.00029151482,1.0
860000,1.378319,0.15246046,1999.0,3.3353546311457953,3.3353546311457953,None,None,None,1.0
870000,1.3766822,0.19983211,None,3.6726766559812756,3.6726766559812756,0.0061125923,0.025519492,0.00029138284,1.0
880000,1.3758199,0.20413692,None,None,None,0.021704754,0.024525004,0.00029126747,1.0
890000,1.3757689,0.15217276,None,None,None,0.010772573,0.021340612,0.00029115484,1.0
900000,1.375435,0.13835466,1999.0,3.180063776233617,3.180063776233617,0.008232791,0.02030232,0.00029103213,1.0
910000,1.3758793,0.24989025,None,2.007299482822418,2.007299482822418,0.019572683,0.020815007,0.00029090754,1.0
920000,1.3758711,0.20053357,None,None,None,None,None,None,1.0
930000,1.3760539,0.14172524,1999.0,2.5006742738187313,2.5006742738187313,0.011449964,0.021477118,0.00029079482,1.0
940000,1.374495,0.16270149,1999.0,3.218406337712492,3.218406337712492,0.0057528457,0.023384772,0.0002906861,1.0
950000,1.3729396,0.19611241,None,None,None,0.017425183,0.02175723,0.00029054744,1.0
960000,1.3727646,0.1545742,None,None,None,0.014161124,0.02234509,0.0002904348,1.0
970000,1.3709184,0.12536392,1999.0,2.3869300106397042,2.3869300106397042,0.005143679,0.025200445,0.000290326,1.0
980000,1.3697604,0.21449311,None,3.2051591873168945,3.2051591873168945,None,None,None,1.0
990000,1.3682367,0.17479633,None,None,None,0.016447356,0.02288123,0.0002901874,1.0
1000000,1.366819,0.15142174,1999.0,None,None,0.013758992,0.028755493,0.0002900748,1.0
1010000,1.3627137,0.13531847,1999.25,3.4483824455075793,3.4483824455075793,0.0088012,0.0265016,0.00028994284,1.0
1020000,1.3638296,0.23631592,None,None,None,0.01844064,0.021618322,0.0002898274,1.0
1030000,1.3640444,0.16761275,None,None,None,0.013165848,0.028782655,0.00028971478,1.0
1040000,1.3680145,0.13137093,1999.0555555555557,3.4463546358876758,3.4463546358876758,0.0054792133,0.018408844,0.00028961062,1.0
1050000,1.3676109,0.1661527,None,2.6727326065301895,2.6727326065301895,None,None,None,1.0
1060000,1.3680304,0.19996731,None,None,None,0.018927919,0.025266763,0.00028946737,1.0
1070000,1.36802,0.12513117,None,None,None,0.012905377,0.021365056,0.00028935476,1.0
1080000,1.3667703,0.09105958,1999.0555555555557,3.297722610480645,3.297722610480645,0.0052063023,0.026345495,0.00028924592,1.0
1090000,1.3679751,0.22578302,None,3.0076990872621536,3.0076990872621536,0.018398253,0.024796866,0.00028910744,1.0
1100000,1.3690046,0.13342944,None,None,None,None,None,None,1.0
1110000,1.3686212,0.117516264,1999.0,3.000674109905958,3.000674109905958,0.011725281,0.024908265,0.00028899475,1.0
1120000,1.36732,0.13286604,1999.0,2.861356363764831,2.861356363764831,0.0057796966,0.029330205,0.00028889062,1.0
1130000,1.3709141,0.18708041,None,None,None,0.020762494,0.02519617,0.00028874734,1.0
1140000,1.3711569,0.12739034,None,None,None,0.012695479,0.023604002,0.00028863474,1.0
