Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,0.07841607,1.4159697,1999.888888888889,1.400299459695816,1.400299459695816,1.0
40000,0.075348906,1.4165865,None,0.6942918300628662,0.6942918300628662,1.0
50000,0.09278638,1.4140255,None,None,None,1.0
60000,0.074301,1.4138467,None,None,None,1.0
70000,0.045184348,1.4145778,1999.2222222222222,0.3856996022737943,0.3856996022737943,1.0
80000,0.0796511,1.4146425,None,0.8022996306419372,0.8022996306419372,1.0
90000,0.06650672,1.41406,None,None,None,1.0
100000,0.053030636,1.4143821,1999.0,None,None,1.0
110000,0.05185178,1.4148313,1999.1875,0.6681774639421039,0.6681774639421039,1.0
120000,0.06846086,1.4132255,None,None,None,1.0
130000,0.03390615,1.4130434,None,None,None,1.0
140000,0.04336571,1.4137278,1999.0,0.4454551902082231,0.4454551902082231,1.0
150000,0.045877375,1.4126787,None,1.1137440370188818,1.1137440370188818,1.0
160000,0.030865664,1.4126146,None,None,None,1.0
170000,0.014547545,1.414439,None,None,None,1.0
180000,0.024290588,1.4145267,1999.0555555555557,1.4142699346822851,1.4142699346822851,1.0
190000,0.08929675,1.4128444,None,-0.9955001175403595,-0.9955001175403595,1.0
200000,0.06388564,1.4121115,None,None,None,1.0
210000,0.05477308,1.4085038,1999.1666666666667,1.2006594985723495,1.2006594985723495,1.0
220000,0.0555254,1.408104,None,1.3106609617288296,1.3106609617288296,1.0
230000,0.11269598,1.4097122,None,None,None,1.0
240000,0.057368454,1.4076225,None,None,None,1.0
250000,0.059409995,1.4075073,1999.0,1.5401377872778819,1.5401377872778819,1.0
260000,0.07335724,1.4087026,None,1.2039195120334625,1.2039195120334625,1.0
270000,0.086327426,1.4074154,None,None,None,1.0
280000,0.05872709,1.4071633,1999.0,None,None,1.0
290000,0.06265491,1.4069955,1999.0,0.7798217642638419,0.7798217642638419,1.0
300000,0.09309005,1.4041607,None,None,None,1.0
310000,0.056638334,1.4038453,None,None,None,1.0
320000,0.022807369,1.4025548,1999.0,2.0012215673923492,2.0012215673923492,1.0
330000,0.07755091,1.4010328,None,1.2256772600942187,1.2256772600942187,1.0
340000,0.078378156,1.401392,None,None,None,1.0
350000,0.0025015278,1.4014391,None,None,None,1.0
360000,0.019928142,1.4021027,1999.0,2.120399411986856,2.120399411986856,1.0
370000,0.1239803,1.3998342,None,1.0055996179580688,1.0055996179580688,1.0
380000,0.059502713,1.3983294,None,None,None,1.0
390000,0.03882464,1.3987538,1999.1666666666667,2.0006792068481447,2.0006792068481447,1.0
400000,0.079227984,1.399287,None,1.7729147787277515,1.7729147787277515,1.0
410000,0.09765841,1.3993018,None,None,None,1.0
420000,0.06732609,1.398463,None,None,None,1.0
430000,0.048480313,1.3983173,1999.0,2.694568465535457,2.694568465535457,1.0
440000,0.16496272,1.3975481,None,1.0054594278335571,1.0054594278335571,1.0
450000,0.12021784,1.3966619,None,None,None,1.0
460000,0.09492083,1.3963007,1999.0,None,None,1.0
470000,0.07511207,1.3977698,1999.0,1.8917160464657679,1.8917160464657679,1.0
480000,0.1885388,1.3980736,None,None,None,1.0
490000,0.08885502,1.3980745,None,None,None,1.0
500000,0.05783283,1.3941029,1999.1666666666667,1.5566438171598647,1.5566438171598647,1.0
510000,0.12079749,1.3951228,None,2.114788386556837,2.114788386556837,1.0
520000,0.13959102,1.3951491,None,None,None,1.0
530000,0.07187229,1.3934423,None,None,None,1.0
540000,0.038739678,1.3927075,1999.1666666666667,2.178999224129845,2.178999224129845,1.0
550000,0.19016013,1.3933488,None,2.0057993978261948,2.0057993978261948,1.0
560000,0.09371752,1.394108,None,None,None,1.0
570000,0.07376242,1.3934003,1999.0,0.7504996806383133,0.7504996806383133,1.0
580000,0.12238089,1.3933079,1999.5,2.5031207171933993,2.5031207171933993,1.0
590000,0.17090599,1.3943002,None,None,None,1.0
600000,0.09445424,1.3951907,None,None,None,1.0
610000,0.063564666,1.3943309,1999.0555555555557,2.6178528998906794,2.6178528998906794,1.0
620000,0.18588558,1.3942611,None,1.6056194633245469,1.6056194633245469,1.0
630000,0.12982853,1.3926003,None,None,None,1.0
640000,0.11654511,1.3925996,1999.0,None,None,1.0
650000,0.10336448,1.3910909,1999.0,1.5580995000070996,1.5580995000070996,1.0
660000,0.16046825,1.3911042,None,None,None,1.0
670000,0.10942823,1.3911542,None,None,None,1.0
680000,0.06658785,1.3917433,1999.0555555555557,3.001765782634417,3.001765782634417,1.0
690000,0.16994467,1.3896134,None,2.0051326569583683,2.0051326569583683,1.0
700000,0.22451957,1.389374,None,None,None,1.0
710000,0.10396479,1.3893758,None,None,None,1.0
720000,0.06053815,1.3880658,1999.0,3.2388697073740116,3.2388697073740116,1.0
730000,0.25909954,1.3888376,None,2.007899731397629,2.007899731397629,1.0
740000,0.058448765,1.3870013,None,None,None,1.0
750000,0.08689748,1.3867583,1999.0,2.7509493678808212,2.7509493678808212,1.0
760000,0.109900214,1.3879794,None,2.1464491795216287,2.1464491795216287,1.0
770000,0.16307844,1.3859111,None,None,None,1.0
780000,0.08766766,1.3856256,None,None,None,1.0
790000,0.082499385,1.3826922,1999.0,1.463068617077974,1.463068617077974,1.0
800000,0.11180744,1.3844877,None,1.6039592146873474,1.6039592146873474,1.0
810000,0.10268015,1.385378,None,None,None,1.0
820000,0.03550781,1.3842944,1999.0,None,None,1.0
830000,0.06532637,1.3826327,1999.1875,1.2244495641854074,1.2244495641854074,1.0
840000,0.1686859,1.3835024,None,None,None,1.0
850000,0.09584823,1.3835684,None,None,None,1.0
860000,0.02786518,1.3817608,1999.0,1.1121885379155476,1.1121885379155476,1.0
870000,0.106781825,1.3813095,None,2.6705992420514426,2.6705992420514426,1.0
880000,0.06603312,1.3813398,None,None,None,1.0
890000,0.019161044,1.3818853,None,None,None,1.0
900000,0.026876887,1.3822362,1999.0,2.0619639535160625,2.0619639535160625,1.0
910000,0.1594249,1.381744,None,6.005599215626717,6.005599215626717,1.0
920000,0.0014968185,1.3830968,None,None,None,1.0
930000,-0.0021349955,1.3832587,1999.0,1.2504497990012169,1.2504497990012169,1.0
940000,0.11365043,1.3823229,1999.0,1.502413843359266,1.502413843359266,1.0
950000,0.14013661,1.3826898,None,None,None,1.0
960000,0.08489964,1.3806635,None,None,None,1.0
970000,0.04454826,1.3804752,1999.0,1.5404148663465793,1.5404148663465793,1.0
980000,0.15756825,1.3797532,None,1.8042592406272888,1.8042592406272888,1.0
990000,0.058540918,1.3751551,None,None,None,1.0
1000000,0.015465098,1.3745645,1999.0,None,None,1.0
1010000,0.017067406,1.3743427,1999.0714285714287,1.3357439521286223,1.3357439521286223,1.0
1020000,0.15405832,1.3750244,None,None,None,1.0
1030000,0.08591167,1.3750833,None,None,None,1.0
1040000,0.061510857,1.3758626,1999.111111111111,2.112743549876743,2.112743549876743,1.0
1050000,0.1203352,1.3729758,None,0.892810689078437,0.892810689078437,1.0
1060000,0.13220423,1.37374,None,None,None,1.0
1070000,0.0806906,1.3738273,None,None,None,1.0
1080000,0.03670378,1.3744452,1999.0,2.2970758562578872,2.2970758562578872,1.0
1090000,0.2252481,1.3755704,None,-0.9940000474452972,-0.9940000474452972,1.0
1100000,0.055642117,1.3785757,None,None,None,1.0
1110000,0.0438317,1.3789186,1999.0,1.2505497932434082,1.2505497932434082,1.0
1120000,0.087647974,1.3798935,None,1.2882066475493568,1.2882066475493568,1.0
1130000,0.16497067,1.3777143,None,None,None,1.0
1140000,0.08754183,1.3753064,None,None,None,1.0
1150000,0.06245389,1.3751606,1999.0555555555557,2.3098377791734843,2.3098377791734843,1.0
1160000,0.13853797,1.3750552,None,1.4050994157791137,1.4050994157791137,1.0
1170000,0.09328646,1.3726666,None,None,None,1.0
1180000,0.03419687,1.3729692,1999.0,None,None,1.0
1190000,0.07282577,1.3707353,1999.0,1.8363884513576825,1.8363884513576825,1.0
1200000,0.13307375,1.3698223,None,None,None,1.0
1210000,0.04718386,1.3689175,None,None,None,1.0
1220000,0.03229596,1.3687613,1999.0,2.3349992947445974,2.3349992947445974,1.0
1230000,0.17445883,1.3667457,None,2.448977160784933,2.448977160784933,1.0
1240000,0.13149732,1.364389,None,None,None,1.0
1250000,0.08496779,1.3642403,None,None,None,1.0
1260000,0.06745753,1.3638787,1999.0555555555557,2.532452196759336,2.532452196759336,1.0
1270000,0.25936118,1.3630402,None,2.0062000155448914,2.0062000155448914,1.0
1280000,0.055169415,1.361471,None,None,None,1.0
1290000,0.052593865,1.3615718,1999.0,0.5004247650504112,0.5004247650504112,1.0
1300000,0.14944063,1.3610517,1999.0,2.4315706055079187,2.4315706055079187,1.0
1310000,0.18878245,1.361007,None,None,None,1.0
1320000,0.09327764,1.3592194,None,None,None,1.0
1330000,0.09336261,1.3580272,1999.0,2.155776329911672,2.155776329911672,1.0
1340000,0.20932195,1.3578923,None,3.005258986353874,3.005258986353874,1.0
1350000,0.12919131,1.3560319,None,None,None,1.0
1360000,0.07777605,1.3541971,1999.0,None,None,1.0
1370000,0.07584137,1.352501,1999.0,2.2254827651712628,2.2254827651712628,1.0
1380000,0.28147465,1.3523808,None,None,None,1.0
1390000,0.10578975,1.3503407,None,None,None,1.0
1400000,0.044675317,1.3490636,1999.0,2.446110208829244,2.446110208829244,1.0
1410000,0.1262654,1.3489561,None,2.227188292476866,2.227188292476866,1.0
1420000,0.08392207,1.3484098,None,None,None,1.0
1430000,0.035526965,1.3472558,None,None,None,1.0
1440000,0.023968859,1.3463477,1999.111111111111,2.1204758680918636,2.1204758680918636,1.0
1450000,0.21665211,1.3463641,None,2.0058988481760025,2.0058988481760025,1.0
1460000,0.13349792,1.3475255,None,None,None,1.0
