Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,-0.13335931,1.4252592,0.0019529433,0.021047428,0.00029792642,1770.2,-9.282650649547577,-9.282650649547577,1.0
60000,-0.16380659,1.4249041,0.0029913508,0.025883004,0.0002973432,384.0,-4.6588127749055275,-4.6588127749055275,1.0
70000,-0.18656525,1.4232327,0.008273367,0.024455726,0.00029676693,735.5,-3.0148335049549737,-3.0148335049549737,1.0
80000,-0.20900896,1.424116,0.008388899,0.024207707,0.0002960991,930.0,-4.317666689554851,-4.317666689554851,1.0
90000,-0.22814338,1.4254467,None,None,None,None,None,None,1.0
100000,-0.2601315,1.425655,0.0024505944,0.019949269,0.00029540795,1871.0,-7.27940046787262,-7.27940046787262,1.0
110000,-0.27184036,1.4260066,0.0026393011,0.020940647,0.00029477192,559.5,-5.7544094893065365,-5.7544094893065365,1.0
120000,-0.28979105,1.4263936,0.0062284037,0.027632067,0.00029422503,379.0,-1.5636666218439739,-1.5636666218439739,1.0
130000,-0.31460515,1.4275193,0.002352959,0.0246436,0.00029370905,1825.75,-8.63150059680144,-8.63150059680144,1.0
140000,-0.316989,1.42788,0.003944201,0.028210433,0.00029312898,None,None,None,1.0
150000,-0.33590657,1.4271903,0.0039286283,0.027531952,0.00029255656,743.0,-3.0493334929148355,-3.0493334929148355,1.0
160000,-0.35844886,1.4263875,0.0018273363,0.026481587,0.0002920404,1599.2,-7.383462014796141,-7.383462014796141,1.0
170000,-0.35153535,1.4263672,None,None,None,767.6666666666666,-4.5057275864210995,-4.5057275864210995,1.0
180000,-0.3575053,1.4263635,0.004874949,0.019849716,0.0002914713,1999.0,-9.664167284965515,-9.664167284965515,1.0
190000,-0.3624802,1.4244465,0.0008573207,0.027106447,0.00029094808,1102.0,-5.01300027469794,-5.01300027469794,1.0
200000,-0.37459117,1.4231133,0.0041073197,0.023781972,0.00029038676,1999.0,-9.662667155265808,-9.662667155265808,1.0
210000,-0.39936507,1.4219328,0.0032158701,0.02255429,0.00028985643,1999.0,-9.597200608253479,-9.597200608253479,1.0
220000,-0.38566938,1.4216317,0.002663746,0.023343865,0.00028933317,1079.75,-5.235250368714333,-5.235250368714333,1.0
230000,-0.3880007,1.4217736,0.0038074702,0.023394305,0.00028876532,1009.0,-4.89023113479981,-4.89023113479981,1.0
240000,-0.36876106,1.4222053,0.0034697603,0.02568304,0.00028823235,1999.0,-9.831334054470062,-9.831334054470062,1.0
250000,-0.3775733,1.421716,0.0044045094,0.026496539,0.00028768324,1085.5,-2.8970000967383385,-2.8970000967383385,1.0
260000,-0.38993502,1.4217203,0.0012754214,0.02421085,0.0002871528,None,-9.496000468730927,-9.496000468730927,1.0
270000,-0.37927237,1.4229448,0.0026520737,0.023468845,0.00028663682,1516.5,-6.60250039100647,-6.60250039100647,1.0
280000,-0.36014652,1.4222522,0.0052708066,0.02313159,0.00028607177,892.8571428571429,-4.5132611973778065,-4.5132611973778065,1.0
290000,-0.38827735,1.4225276,0.004612692,0.028119659,0.00028553416,None,None,None,1.0
300000,-0.39092293,1.4228648,None,None,None,1364.6666666666667,-6.27111158768336,-6.27111158768336,1.0
310000,-0.4045671,1.4225699,0.0038935018,0.025730824,0.00028499644,None,None,None,1.0
320000,-0.42596453,1.4235318,0.0027158097,0.021254236,0.00028445883,1999.0,-9.332334081331888,-9.332334081331888,1.0
330000,-0.4126302,1.4251885,0.0003081568,0.02895603,0.00028393566,1601.8,-7.842167180445459,-7.842167180445459,1.0
340000,-0.37734392,1.425225,0.0037837964,0.020378016,0.00028339276,559.6,-2.333933430413405,-2.333933430413405,1.0
350000,-0.40087804,1.4258009,0.005652546,0.024570376,0.00028285067,None,None,None,1.0
360000,-0.4258622,1.4263064,0.002468249,0.025615994,0.0002823275,1256.4,-6.2746927325542154,-6.2746927325542154,1.0
370000,-0.40257564,1.4263617,0.004915692,0.02410392,0.00028175986,1235.5,-4.84837532043457,-4.84837532043457,1.0
380000,-0.39534348,1.4258405,0.0034500475,0.021792293,0.0002812295,1314.0,-5.08780027627945,-5.08780027627945,1.0
390000,-0.40720817,1.4257898,0.0043792888,0.029016795,0.00028064958,1564.0,-7.5283850867014666,-7.5283850867014666,1.0
400000,-0.40182298,1.4263945,0.004142427,0.021252777,0.00028009096,235.0,-0.5123333235581716,-0.5123333235581716,1.0
410000,-0.44488707,1.4261006,0.0027572424,0.025682574,0.00027955332,1999.0,-8.997000604867935,-8.997000604867935,1.0
420000,-0.35717902,1.4260322,0.0048189834,0.026004488,0.00027903734,921.6666666666666,-4.315526596417553,-4.315526596417553,1.0
430000,-0.4048633,1.4281477,0.003309306,0.021127278,0.00027850698,1866.0,-9.999000787734985,-9.999000787734985,1.0
440000,-0.41066015,1.4288185,None,None,None,1906.0,-8.265667135516802,-8.265667135516802,1.0
450000,-0.40837207,1.4285715,0.0042066276,0.023276102,0.0002779608,1293.5,-7.150200510025025,-7.150200510025025,1.0
460000,-0.40995356,1.4293581,0.0033404992,0.029912578,0.0002774145,None,-0.06599996984004974,-0.06599996984004974,1.0
470000,-0.38650107,1.4278007,0.0042466596,0.032890055,0.00027688354,1296.8,-5.819933644930521,-5.819933644930521,1.0
480000,-0.38131368,1.4286281,0.0038575376,0.022780035,0.0002763644,936.0,-3.792777975400289,-3.792777975400289,1.0
490000,-0.34089294,1.4301387,0.014661985,0.027529793,0.00027581956,410.0,-1.0520000292195215,-1.0520000292195215,1.0
500000,-0.3964355,1.4310781,0.0044841855,0.026176024,0.0002752593,1101.0,-6.402000320809228,-6.402000320809228,1.0
510000,-0.34930965,1.4306968,0.0072040944,0.022886096,0.00027473702,1012.0,-3.7468825200682176,-3.7468825200682176,1.0
520000,-0.39800593,1.4305153,0.0056746094,0.021542562,0.00027415727,426.0,None,None,1.0
530000,-0.37398595,1.4297795,0.0072734985,0.020225931,0.00027364068,1124.0,-4.124200169245402,-4.124200169245402,1.0
540000,-0.35074288,1.4306328,0.0059861555,0.025526354,0.00027307577,700.5,-2.7552501441289983,-2.7552501441289983,1.0
550000,-0.39227423,1.430529,0.008144861,0.025615169,0.00027253656,895.0,-3.4772501115997634,-3.4772501115997634,1.0
560000,-0.3228543,1.4310968,None,None,None,765.7142857142857,-3.0220478233836947,-3.0220478233836947,1.0
570000,-0.32067844,1.4314622,0.008436713,0.019711312,0.00027196188,649.8,-2.451000154018402,-2.451000154018402,1.0
