Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,1.4292082,-0.19995919,0.008285495,0.02903926,0.0002994075,1999.0,-8.277778347333273,-8.277778347333273,1.0
60000,1.4286066,-0.22465047,0.0034573807,0.029920314,0.00029922856,None,-8.222222811645931,-8.222222811645931,1.0
70000,1.4266018,-0.2010365,0.00867654,0.021275025,0.00029903106,754.5,-2.5893334415223865,-2.5893334415223865,1.0
80000,1.4262702,-0.2515259,0.009533805,0.020804487,0.00029887966,1076.0,-3.692333479722341,-3.692333479722341,1.0
90000,1.4260696,-0.26285183,None,None,None,1393.0,-4.967000126838684,-4.967000126838684,1.0
100000,1.4245218,-0.26081824,0.009146378,0.025732543,0.00029870792,1999.0,None,None,1.0
110000,1.4219998,-0.19523741,0.0058358707,0.02599865,0.00029851662,3.0,-5.1403337017710635,-5.1403337017710635,1.0
120000,1.4218267,-0.28884333,0.005056074,0.02970109,0.0002983626,1999.0,-7.997000575065613,-7.997000575065613,1.0
130000,1.4215093,-0.33169663,0.008754111,0.030045971,0.00029819534,1999.0,-8.634455198591406,-8.634455198591406,1.0
140000,1.4181771,-0.25382444,0.011291737,0.020787487,0.0002980445,1007.8,-3.5084669371445973,-3.5084669371445973,1.0
150000,1.4153903,-0.32640448,0.007078736,0.026958905,0.00029789135,None,None,None,1.0
160000,1.4130398,-0.2729252,0.008879052,0.03060732,0.00029773611,1223.6666666666667,-4.898278107245763,-4.898278107245763,1.0
170000,1.4116788,-0.32289794,0.008601387,0.024378954,0.00029757648,None,None,None,1.0
180000,1.4092178,-0.3226079,None,None,None,1002.5,-3.8473336150248847,-3.8473336150248847,1.0
190000,1.4086562,-0.33142087,0.007559307,0.031650636,0.00029742465,1354.6666666666667,-3.498833586772283,-3.498833586772283,1.0
200000,1.4083989,-0.25877675,0.0075822426,0.023037804,0.0002972723,1105.6,-4.997389256954193,-4.997389256954193,1.0
210000,1.4088073,-0.3194223,0.012244097,0.02349191,0.00029712293,1999.0,-8.79600042104721,-8.79600042104721,1.0
220000,1.408834,-0.32161245,0.013658161,0.02215051,0.00029697348,1999.0,-7.996000379323959,-7.996000379323959,1.0
230000,1.4094652,-0.3318393,0.009328995,0.02432485,0.0002968069,1174.0,-4.537666832407315,-4.537666832407315,1.0
240000,1.4095076,-0.38050213,0.0034313626,0.02436775,0.0002966553,1112.0,-3.8953335881233215,-3.8953335881233215,1.0
250000,1.4097397,-0.2672426,0.006494129,0.024346808,0.00029650208,1249.8,-4.784533657630285,-4.784533657630285,1.0
260000,1.4092455,-0.2933503,0.008174613,0.027820863,0.00029633855,928.6,-3.111466900507609,-3.111466900507609,1.0
270000,1.4066129,-0.31323212,0.010424598,0.023155417,0.00029618852,1949.0,-8.0793337225914,-8.0793337225914,1.0
280000,1.4053819,-0.35067004,0.0057353755,0.026369823,0.00029603697,1999.0,-8.329333821932474,-8.329333821932474,1.0
290000,1.4051547,-0.36204365,0.006778531,0.020818433,0.00029588287,1411.25,-4.975166920572519,-4.975166920572519,1.0
300000,1.4060833,-0.33751535,0.008810222,0.033080403,0.00029571756,1078.0,-2.6354446378019123,-2.6354446378019123,1.0
310000,1.4047074,-0.22906344,None,None,None,602.25,-2.7427334785461426,-2.7427334785461426,1.0
320000,1.404076,-0.29491943,0.017390093,0.021537425,0.0002955504,1417.6666666666667,-5.090333551168442,-5.090333551168442,1.0
330000,1.4041747,-0.27682838,0.008811143,0.025737816,0.00029538837,35.0,0.48766669631004333,0.48766669631004333,1.0
340000,1.4028008,-0.3568052,0.009903812,0.027292792,0.0002952348,1999.0,-7.997000575065613,-7.997000575065613,1.0
350000,1.4013872,-0.29804063,0.006859912,0.018081617,0.00029507812,1159.2,-5.1108128521591425,-5.1108128521591425,1.0
360000,1.4005706,-0.2350473,0.0087753795,0.013990755,0.0002949199,736.0,-2.0296364589170977,-2.0296364589170977,1.0
370000,1.4011163,-0.2797661,0.013079098,0.021281786,0.0002947659,1345.6666666666667,-4.730333599779341,-4.730333599779341,1.0
380000,1.4009967,-0.25039384,0.007926459,0.033383794,0.00029461348,1014.0,-3.5740002542734146,-3.5740002542734146,1.0
390000,1.39971,-0.33466256,0.015347695,0.026001833,0.00029445984,1565.0,-4.495667010545731,-4.495667010545731,1.0
