Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60000,-0.14250812,1.4253303,0.051285736,0.023072084,0.0002972352,1999.0,-6.050002491474151,-6.050002491474151,1.0
70000,-0.15351266,1.4252363,None,None,None,1999.0,-3.595240981805892,-3.595240981805892,1.0
80000,-0.14671798,1.4274445,0.08460045,0.023485696,0.00029640002,None,-6.00000170469284,-6.00000170469284,1.0
90000,-0.18228626,1.4275867,None,None,None,None,None,None,1.0
100000,-0.1564399,1.4277978,0.12062028,0.02133256,0.00029547844,None,None,None,1.0
110000,-0.17991161,1.4302537,0.043579992,0.027901543,0.0002945568,None,None,None,1.0
120000,-0.20627433,1.4305115,None,None,None,None,None,None,1.0
130000,-0.22003095,1.4300281,0.03134504,0.025873229,0.00029363518,1999.0,-6.600001335144043,-6.600001335144043,1.0
140000,-0.24360226,1.4299384,None,None,None,1999.0,-6.522729304703799,-6.522729304703799,1.0
150000,-0.26951128,1.4264283,0.026658192,0.0190168,0.00029280002,None,-6.111113336351183,-6.111113336351183,1.0
160000,-0.2582626,1.4261757,None,None,None,None,None,None,1.0
170000,-0.24116212,1.4266284,0.14779261,0.022294061,0.0002918784,None,None,None,1.0
180000,-0.25579154,1.4266735,None,None,None,None,None,None,1.0
190000,-0.2489492,1.4277033,0.05627374,0.02539215,0.00029095676,None,None,None,1.0
200000,-0.27039975,1.4235039,0.029424373,0.027469404,0.00029003524,1999.0,-6.000001311302185,-6.000001311302185,1.0
210000,-0.28427756,1.4230614,None,None,None,1999.0,-7.477274705063213,-7.477274705063213,1.0
220000,-0.3160479,1.420467,0.017922653,0.022126535,0.00028920002,None,-6.115386380599095,-6.115386380599095,1.0
230000,-0.30749398,1.4203023,None,None,None,None,None,None,1.0
240000,-0.30737942,1.4222051,0.12548621,0.024269901,0.00028827848,None,None,None,1.0
250000,-0.27255684,1.4223679,None,None,None,None,None,None,1.0
260000,-0.32909605,1.4203962,0.07372876,0.026878102,0.00028735682,None,None,None,1.0
270000,-0.28339073,1.4201975,None,None,None,None,None,None,1.0
280000,-0.30727202,1.4186281,0.063387096,0.02347868,0.00028643518,1999.0,-5.944447033935123,-5.944447033935123,1.0
290000,-0.30418,1.4182285,0.031900737,0.022983775,0.00028560005,None,-4.472225301795536,-4.472225301795536,1.0
300000,-0.30956703,1.418186,None,None,None,None,None,None,1.0
310000,-0.29245332,1.4200444,0.13091484,0.019811174,0.00028467842,1023.0,0.049666245778401695,0.049666245778401695,1.0
320000,-0.3338222,1.4205291,0.041787244,0.023352114,0.00028408962,None,None,None,1.0
330000,-0.29504517,1.4210836,None,None,None,None,None,None,1.0
340000,-0.32838067,1.422376,0.098807074,0.020586997,0.0002832448,None,None,None,1.0
350000,-0.32499433,1.4243585,None,None,None,1999.0,-7.071430674621037,-7.071430674621037,1.0
360000,-0.3011188,1.4260459,0.06254127,0.028214682,0.0002823712,None,-6.342108193196748,-6.342108193196748,1.0
370000,-0.2852221,1.427082,None,None,None,None,None,None,1.0
380000,-0.2833906,1.4250569,0.13411549,0.022442684,0.00028148084,1999.0,-5.6636684735616045,-5.6636684735616045,1.0
390000,-0.32308424,1.4249247,None,None,None,None,None,None,1.0
400000,-0.31435826,1.4251151,0.08278726,0.031608924,0.00028048965,None,None,None,1.0
410000,-0.294718,1.4254825,0.04446238,0.022199774,0.00027964482,None,None,None,1.0
420000,-0.30257818,1.4264927,None,None,None,1961.8181818181818,-3.7377524624268212,-3.7377524624268212,1.0
430000,-0.29052752,1.4261277,0.0993047,0.022196569,0.00027876295,None,-3.0714318184625533,-3.0714318184625533,1.0
440000,-0.28796583,1.4252962,None,None,None,310.0,0.948999285697937,0.948999285697937,1.0
450000,-0.23962331,1.4255329,0.20431423,0.0250913,0.0002778188,None,None,None,1.0
460000,-0.26890624,1.425668,None,None,None,1999.0,2.502996484438578,2.502996484438578,1.0
470000,-0.22121929,1.4265455,0.14365205,0.022380264,0.0002768275,1156.0,-0.9506689310073853,-0.9506689310073853,1.0
480000,-0.25887725,1.4265951,None,None,None,None,None,None,1.0
490000,-0.25497428,1.4262673,0.059689265,0.023577996,0.00027596278,1949.4444444444443,-2.5361278038471937,-2.5361278038471937,1.0
500000,-0.29886144,1.4250522,0.04766378,0.01987522,0.00027509368,None,-4.815791531612999,-4.815791531612999,1.0
510000,-0.23506951,1.4225141,None,None,None,1102.6666666666667,0.4853314757347107,0.4853314757347107,1.0
520000,-0.22208016,1.4256488,0.22484632,0.023796657,0.00027418978,None,None,None,1.0
530000,-0.21244195,1.4266727,None,None,None,None,None,None,1.0
540000,-0.23457357,1.4274167,0.1033944,0.02194742,0.00027326826,1999.0,-1.9990044037501018,-1.9990044037501018,1.0
550000,-0.21665569,1.4273903,None,None,None,1190.0,7.215661684672038,7.215661684672038,1.0
560000,-0.2119761,1.4270096,0.070144,0.026496945,0.00027240557,1999.0,-4.996503442525864,-4.996503442525864,1.0
570000,-0.23565432,1.4265264,0.12869008,0.023704167,0.00027188234,1999.0,-2.7333358685175577,-2.7333358685175577,1.0
580000,-0.24397406,1.4262348,0.1587009,0.020932203,0.00027131118,1626.75,-4.829669621255663,-4.829669621255663,1.0
590000,-0.20465633,1.4246589,0.18623431,0.022112926,0.00027063457,None,-0.2176686922709147,-0.2176686922709147,1.0
600000,-0.2148049,1.424483,0.20815858,0.021897037,0.00027009693,None,None,None,1.0
610000,-0.22020921,1.4250164,0.14397955,0.020662485,0.0002695593,1999.0,-7.24900096654892,-7.24900096654892,1.0
620000,-0.24067947,1.4240533,0.054639053,0.022840725,0.00026903945,1837.0,-9.81257712841034,-9.81257712841034,1.0
630000,-0.27475154,1.4249003,0.019374784,0.022515787,0.0002685162,1999.0,-2.5798365672429404,-2.5798365672429404,1.0
640000,-0.29002497,1.4251988,0.042287264,0.021431971,0.00026800024,1999.0,-6.222224871317546,-6.222224871317546,1.0
650000,-0.3060725,1.426812,None,None,None,1512.3333333333333,-3.396668255329132,-3.396668255329132,1.0
660000,-0.2817781,1.4283109,0.055722177,0.0186953,0.00026747287,1999.0,-7.829334537188212,-7.829334537188212,1.0
670000,-0.300845,1.4286753,0.098263785,0.026309937,0.00026694962,None,None,None,1.0
680000,-0.30315763,1.4292634,0.08046117,0.026168568,0.00026641195,None,None,None,1.0
690000,-0.29918486,1.4327943,0.13329335,0.024855189,0.00026586218,1787.5,-4.116365476088091,-4.116365476088091,1.0
700000,-0.29574782,1.4318738,0.020867372,0.022118617,0.00026526212,1999.0,-7.746251732110977,-7.746251732110977,1.0
710000,-0.28497833,1.4309156,0.07300172,0.021605998,0.00026473173,1999.0,-4.7500031391779585,-4.7500031391779585,1.0
720000,-0.2539267,1.4302827,0.09936489,0.024823125,0.00026421572,1999.0,-4.41316819190979,-4.41316819190979,1.0
730000,-0.23699939,1.4295052,0.04745997,0.02476429,0.0002635533,1999.0,-8.274112853738997,-8.274112853738997,1.0
740000,-0.27424228,1.4306469,0.13962062,0.02474339,0.0002630157,None,None,None,1.0
750000,-0.25030106,1.432768,None,None,None,None,None,None,1.0
760000,-0.27965727,1.4350151,0.04353611,0.023851167,0.00026247805,1531.5,-2.5352522333463035,-2.5352522333463035,1.0
770000,-0.22891176,1.4369298,0.15568294,0.028736483,0.00026194268,1999.0,-5.246502021948497,-5.246502021948497,1.0
780000,-0.2596779,1.4382905,0.06652432,0.019044528,0.00026141942,1999.0,-10.000000715255737,-10.000000715255737,1.0
790000,-0.2828769,1.4383417,0.06654884,0.019132493,0.0002608962,1999.0,-5.816275304014033,-5.816275304014033,1.0
800000,-0.2942495,1.4394424,0.024095917,0.029807838,0.00026038018,1999.0,-3.218558417426215,-3.218558417426215,1.0
810000,-0.3013435,1.4428868,0.08362378,0.027354194,0.00025985707,None,None,None,1.0
820000,-0.31616995,1.4442458,0.059625156,0.023618076,0.00025924266,None,None,None,1.0
830000,-0.3587709,1.4439998,0.015949193,0.026541669,0.00025871219,1999.0,-8.496502230564753,-8.496502230564753,1.0
840000,-0.33302975,1.442226,0.024110334,0.024018403,0.0002581962,1999.0,-8.640573808125087,-8.640573808125087,1.0
850000,-0.32179704,1.4420067,0.070417605,0.023093356,0.00025765333,82.0,-2.645600664615631,-2.645600664615631,1.0
860000,-0.30438316,1.4431797,0.041198235,0.02657286,0.0002571302,1999.0,-7.771183284846219,-7.771183284846219,1.0
870000,-0.29892328,1.4445068,0.041791968,0.025498718,0.00025654456,1999.0,-7.308876812458038,-7.308876812458038,1.0
880000,-0.336423,1.4451058,0.11757849,0.020354658,0.00025601414,None,-2.7460036277770996,-2.7460036277770996,1.0
890000,-0.28102696,1.4443498,0.15963271,0.02320033,0.000255501,860.0,4.365664462248485,4.365664462248485,1.0
900000,-0.2988805,1.4481734,None,None,None,1681.0,-4.462890663080746,-4.462890663080746,1.0
910000,-0.2768429,1.4495549,0.051137157,0.024412692,0.00025497455,1999.0,-5.664668997128804,-5.664668997128804,1.0
920000,-0.26750827,1.4497825,0.053363003,0.02761575,0.00025445133,1999.0,-3.163670221964518,-3.163670221964518,1.0
930000,-0.26497075,1.451027,0.09307261,0.030884746,0.00025392094,1999.0,-6.8742523193359375,-6.8742523193359375,1.0
940000,-0.2582417,1.4515052,0.08349476,0.021529468,0.00025339765,1999.0,-4.371627151966095,-4.371627151966095,1.0
950000,-0.32023016,1.4507747,0.02699462,0.027238237,0.00025287454,1999.0,-5.996001720428467,-5.996001720428467,1.0
960000,-0.26726025,1.449959,0.065778084,0.02257434,0.00025234412,1999.0,-9.996000528335571,-9.996000528335571,1.0
970000,-0.30966252,1.4489253,0.08252624,0.026373547,0.00025181373,1999.0,-7.871376499533653,-7.871376499533653,1.0
980000,-0.29423544,1.4480873,0.06027218,0.023545599,0.00025129775,1625.0,-4.294918209314346,-4.294918209314346,1.0
990000,-0.27594042,1.4484829,0.10203645,0.023538688,0.00025071393,1229.0,-1.985556999842326,-1.985556999842326,1.0
1000000,-0.22159252,1.4510897,0.09787292,0.024532972,0.00025018354,None,None,None,1.0
1010000,-0.25252292,1.4522005,0.09222527,0.020089217,0.00024965312,1999.0,-5.496501962343852,-5.496501962343852,1.0
1020000,-0.24073546,1.4524211,0.01871136,0.021652568,0.00024912987,1999.0,-6.329335172971089,-6.329335172971089,1.0
1030000,-0.2705252,1.4520819,None,None,None,None,None,None,1.0
1040000,-0.21249667,1.4547575,0.15573609,0.020718489,0.00024843874,1999.0,-7.24650102853775,-7.24650102853775,1.0
1050000,-0.26210558,1.4557867,0.038197592,0.020861415,0.00024792273,1999.0,-3.956585725148519,-3.956585725148519,1.0
1060000,-0.25226697,1.4546335,0.12509434,0.021310082,0.00024740674,1999.0,-6.941113180584377,-6.941113180584377,1.0
1070000,-0.28387403,1.4547303,0.053685144,0.028603068,0.00024689076,None,None,None,1.0
1080000,-0.21409823,1.4569495,0.1518158,0.021213561,0.00024635004,1265.5,-1.497169052561124,-1.497169052561124,1.0
1090000,-0.2495383,1.4588112,0.12459847,0.026035756,0.00024574998,1999.0,-3.4960034688313804,-3.4960034688313804,1.0
1100000,-0.25812772,1.4597601,0.0333408,0.031560563,0.00024521956,None,None,None,1.0
1110000,-0.27548417,1.4615104,0.12909596,0.028927732,0.00024464028,1441.0,-3.2336262464523315,-3.2336262464523315,1.0
1120000,-0.28142056,1.461864,0.041095987,0.022959491,0.0002440547,1999.0,-7.665003061294556,-7.665003061294556,1.0
1130000,-0.29125768,1.463001,0.06095434,0.025789645,0.00024353151,1999.0,-4.896202301979065,-4.896202301979065,1.0
1140000,-0.2968734,1.4664701,0.037407856,0.022600595,0.00024300111,None,-14.997002601623535,-14.997002601623535,1.0
1150000,-0.32288483,1.4687912,None,None,None,1449.0,-4.636556691593594,-4.636556691593594,1.0
1160000,-0.29830563,1.4684765,0.06542951,0.017882653,0.00024242538,1999.0,-10.162668148676554,-10.162668148676554,1.0
1170000,-0.28953177,1.468013,0.0830203,0.029158501,0.00024189503,None,None,None,1.0
1180000,-0.27118126,1.4675882,0.11689864,0.026620299,0.00024128059,1999.0,-6.830835024515788,-6.830835024515788,1.0
1190000,-0.29521537,1.4671679,0.0713108,0.020677011,0.0002407646,1999.0,-5.498456846583974,-5.498456846583974,1.0
1200000,-0.28643522,1.4677343,0.067585945,0.02570805,0.00024017898,1179.0,-2.157201886177063,-2.157201886177063,1.0
1210000,-0.24214974,1.468479,0.13819212,0.027720325,0.00023959459,1999.0,-2.3172006845474242,-2.3172006845474242,1.0
1220000,-0.24977008,1.4693406,0.10545389,0.02601043,0.0002390714,1999.0,-1.1646697521209717,-1.1646697521209717,1.0
1230000,-0.19775604,1.469087,0.13705726,0.025410801,0.00023850666,1137.5,-2.4027795924080744,-2.4027795924080744,1.0
1240000,-0.19263461,1.4694955,None,None,None,379.0,2.1029990911483765,2.1029990911483765,1.0
1250000,-0.17944413,1.4694625,0.097080916,0.027404537,0.00023798882,1999.0,-6.748251974582672,-6.748251974582672,1.0
1260000,-0.18289948,1.4707403,0.10928855,0.02714513,0.00023746568,1999.0,-4.810002222657204,-4.810002222657204,1.0
1270000,-0.18037055,1.4715065,0.074253425,0.025146056,0.00023694959,1999.0,-2.6641703645388284,-2.6641703645388284,1.0
1280000,-0.20334378,1.4722666,0.08122461,0.02017331,0.0002364192,1999.0,-2.8308363556861877,-2.8308363556861877,1.0
1290000,-0.17360024,1.4732457,0.09207459,0.029937249,0.00023589605,1999.0,-3.8303354581197104,-3.8303354581197104,1.0
1300000,-0.19124295,1.4743158,0.101819605,0.022166753,0.00023536565,1999.0,-3.696402430534363,-3.696402430534363,1.0
1310000,-0.18683523,1.4739602,0.0682651,0.0235751,0.00023484243,1999.0,0.0029967427253723145,0.0029967427253723145,1.0
1320000,-0.23594911,1.4737936,0.09103557,0.026544722,0.00023431201,1999.0,-3.499001979827881,-3.499001979827881,1.0
1330000,-0.18387856,1.4743408,0.117678925,0.021611758,0.00023378887,1999.0,-6.746501326560974,-6.746501326560974,1.0
1340000,-0.23785396,1.4752847,0.08049276,0.022757905,0.00023320325,1999.0,-5.609112885263231,-5.609112885263231,1.0
1350000,-0.16606992,1.4738612,0.14192799,0.030408932,0.00023268007,1999.0,-5.497501969337463,-5.497501969337463,1.0
1360000,-0.19435589,1.470564,0.1420606,0.021592112,0.00023214243,1999.0,-4.247006952762604,-4.247006952762604,1.0
1370000,-0.19061336,1.4700545,0.12856208,0.023574593,0.00023161204,1999.0,-4.871252313256264,-4.871252313256264,1.0
1380000,-0.19602494,1.4702172,0.029552056,0.027909717,0.00023108888,1999.0,-1.580336292584737,-1.580336292584737,1.0
1390000,-0.20244429,1.4697645,0.13551055,0.026141638,0.00023056907,1666.0,1.7514977256457012,1.7514977256457012,1.0
1400000,-0.1704049,1.470231,0.14900349,0.024138339,0.00023001982,1854.0,-1.4035582078827753,-1.4035582078827753,1.0
1410000,-0.18758471,1.468971,None,None,None,1999.0,-4.996001958847046,-4.996001958847046,1.0
1420000,-0.15775308,1.4712411,0.13990371,0.028834533,0.00022948944,1999.0,-4.247503419717153,-4.247503419717153,1.0
1430000,-0.15715234,1.4718181,0.08041917,0.022039758,0.00022896618,None,None,None,1.0
1440000,-0.13635294,1.4707701,0.1328283,0.018779892,0.00022842862,1870.5,-2.187835623820623,-2.187835623820623,1.0
1450000,-0.13837084,1.4696299,0.05298313,0.020437324,0.0002278743,1999.0,-5.163668632507324,-5.163668632507324,1.0
1460000,-0.20638959,1.4699463,0.06756863,0.02340695,0.00022734392,1999.0,-4.440779758824243,-4.440779758824243,1.0
1470000,-0.1653121,1.4700434,0.057955433,0.019495247,0.00022682793,1999.0,-3.220224791102939,-3.220224791102939,1.0
1480000,-0.22044516,1.4699491,0.16019781,0.020457305,0.00022630478,1999.0,-5.829335570335388,-5.829335570335388,1.0
1490000,-0.22464715,1.4691515,0.13458095,0.022729715,0.00022577438,1999.0,-9.999000787734985,-9.999000787734985,1.0
1500000,-0.23578823,1.4687369,0.09626773,0.032920428,0.0002252381,1042.5,-1.535251371562481,-1.535251371562481,1.0
1510000,-0.24745698,1.4690458,0.118816055,0.029897006,0.00022471494,1999.0,-3.4136693676312766,-3.4136693676312766,1.0
1520000,-0.22356813,1.4702711,0.08836566,0.01889686,0.00022418454,1999.0,-7.663667758305867,-7.663667758305867,1.0
1530000,-0.26207876,1.4711617,0.17307912,0.023349801,0.00022365415,1999.0,-4.385224130418566,-4.385224130418566,1.0
1540000,-0.26067314,1.471464,0.05344656,0.029135833,0.0002230757,1999.0,-3.442446642451816,-3.442446642451816,1.0
1550000,-0.18385983,1.4712982,0.15518856,0.019116448,0.0002225381,1999.0,0.5039973258972168,0.5039973258972168,1.0
1560000,-0.21081185,1.4709281,None,None,None,145.0,0.8641984224319458,0.8641984224319458,1.0
1570000,-0.24526271,1.4709803,0.07243674,0.02807291,0.00022198581,1999.0,-4.163169503211975,-4.163169503211975,1.0
1580000,-0.25918826,1.4723884,0.081452705,0.02203227,0.00022146259,1999.0,-1.9136693080266316,-1.9136693080266316,1.0
1590000,-0.28185782,1.4720112,0.06910948,0.023541726,0.00022093943,1999.0,-8.330335060755411,-8.330335060755411,1.0
1600000,-0.25500518,1.4718051,0.07029625,0.034550626,0.00022040903,1999.0,-7.621751695871353,-7.621751695871353,1.0
1610000,-0.23221666,1.4726263,0.06911059,0.02252174,0.00021989303,1647.0,-2.7221270352602005,-2.7221270352602005,1.0
1620000,-0.23261288,1.4739057,0.117217384,0.02039048,0.00021934097,None,-9.999000787734985,-9.999000787734985,1.0
1630000,-0.15149388,1.4735003,0.2663253,0.022426423,0.00021881783,1207.0,0.9609979391098022,0.9609979391098022,1.0
1640000,-0.19179995,1.4737872,0.13626389,0.020722752,0.00021829459,1999.0,-5.496502180894216,-5.496502180894216,1.0
1650000,-0.17444704,1.4737576,0.09777937,0.02477866,0.00021775489,1694.3333333333333,2.7464237213134766,2.7464237213134766,1.0
